"No.","Time","Source","Destination","Protocol","Length","Info"
"3503","116.634558","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4065 Ack=3359 Win=257 Len=35 TSval=121607808 TSecr=37"
"3525","117.447080","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4100 Ack=3388 Win=257 Len=35 TSval=121607889 TSecr=37"
"3563","118.631069","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4135 Ack=3417 Win=257 Len=35 TSval=121608007 TSecr=37"
"3586","119.461298","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4170 Ack=3446 Win=256 Len=35 TSval=121608090 TSecr=37"
"3620","120.645218","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4205 Ack=3475 Win=256 Len=35 TSval=121608209 TSecr=37"
"3652","121.634003","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4240 Ack=3505 Win=256 Len=35 TSval=121608308 TSecr=37"
"3683","122.634096","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4275 Ack=3534 Win=256 Len=35 TSval=121608408 TSecr=37"
"3709","123.462232","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=4310 Ack=3563 Win=256 Len=36 TSval=121608491 TSecr=37"
"3740","124.459292","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=4346 Ack=3590 Win=256 Len=36 TSval=121608590 TSecr=37"
"3772","125.635071","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4382 Ack=3619 Win=256 Len=35 TSval=121608708 TSecr=37"
"3795","126.460872","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4417 Ack=3648 Win=256 Len=35 TSval=121608790 TSecr=37"
"3824","127.458389","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4452 Ack=3677 Win=256 Len=35 TSval=121608890 TSecr=37"
"3852","128.448069","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4487 Ack=3706 Win=255 Len=35 TSval=121608989 TSecr=37"
"3880","129.462122","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4522 Ack=3735 Win=255 Len=35 TSval=121609090 TSecr=37"
